檔案路徑,函式名稱,round1,round2,round3,漏洞出現次數
buffer/src/test/java/io/netty/buffer/AbstractByteBufTest.java,testReadBytesAndWriteBytesWithFileChannel(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
buffer/src/test/java/io/netty/buffer/ReadOnlyDirectByteBufferBufTest.java,testWrapMemoryMapped(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-classes-quic/src/main/java/io/netty/handler/codec/quic/BoringSSLKeylessManagerFactory.java,newKeyless(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",3
codec-classes-quic/src/main/java/io/netty/handler/codec/quic/QuicheQuicChannel.java,attachQuicheConnection(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
codec-http/src/main/java/io/netty/handler/codec/http/multipart/AbstractDiskHttpData.java,setContent(),"1 (Δ; base=0, round=1, CodeQL(1))","1 (Δ; base=0, round=1, CodeQL(1))","1 (Δ; base=0, round=1, CodeQL(1))",3
codec-http/src/main/java/io/netty/handler/codec/http/multipart/AbstractMemoryHttpData.java,setContent(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",3
codec-http/src/main/java/io/netty/handler/codec/http/multipart/AbstractMixedHttpData.java,setContent(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
codec-http/src/main/java/io/netty/handler/codec/http/multipart/DeleteFileOnExitHook.java,runHook(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",3
codec-http/src/main/java/io/netty/handler/codec/http/multipart/DiskFileUpload.java,toString(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/main/java/io/netty/handler/codec/http/multipart/HttpPostRequestEncoder.java,addBodyFileUpload(),"1 (Δ; base=0, round=1, CodeQL(1))","1 (Δ; base=0, round=1, CodeQL(1))","1 (Δ; base=0, round=1, CodeQL(1))",3
codec-http/src/test/java/io/netty/handler/codec/http/HttpChunkedInputTest.java,<clinit>(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/AbstractDiskHttpDataTest.java,testGetChunk(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/AbstractMemoryHttpDataTest.java,testSetContentFromFile(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/DeleteFileOnExitHookTest.java,setUp(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/DiskFileUploadTest.java,testSpecificCustomBaseDir(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/HttpPostRequestEncoderTest.java,testMultiFileUploadInMixedMode(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http/src/test/java/io/netty/handler/codec/http/multipart/MixedTest.java,testSpecificCustomBaseDir(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http2/src/test/java/io/netty/handler/codec/http2/HashCollisionTest.java,main(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",3
codec-http2/src/test/java/io/netty/handler/codec/http2/HpackTest.java,files(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-http2/src/test/java/io/netty/handler/codec/http2/Http2DataChunkedInputTest.java,<clinit>(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
codec-native-quic/src/test/java/io/netty/handler/codec/quic/QuicChannelConnectTest.java,accept(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
codec-xml/src/test/java/io/netty/handler/codec/xml/XmlFrameDecoderTest.java,sample(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
common/src/main/java/io/netty/util/NetUtil.java,run(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
common/src/main/java/io/netty/util/Version.java,identify(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
common/src/main/java/io/netty/util/internal/NativeLibraryLoader.java,load(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
common/src/main/java/io/netty/util/internal/PlatformDependent.java,toDirectory(),"2 (Δ; base=0, round=2, CodeQL(2))","7 (Δ; base=0, round=7, CodeQL(7)+Semgrep(0))","5 (Δ; base=0, round=5, CodeQL(5)+Semgrep(0))",3
common/src/main/java/io/netty/util/internal/ResourcesUtil.java,getFile(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",3
common/src/test/java/io/netty/util/internal/NativeLibraryLoaderTest.java,testMultipleResourcesWithSameContentInTheClassLoader(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
example/src/main/java/io/netty/example/file/FileServerHandler.java,channelRead0(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",3
example/src/main/java/io/netty/example/http/file/HttpStaticFileServerHandler.java,channelRead0(),"12 (Δ; base=0, round=12, CodeQL(12)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",1
example/src/main/java/io/netty/example/http/upload/HttpUploadClient.java,main(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",0
example/src/main/java/io/netty/example/http2/file/Http2StaticFileServerHandler.java,channelRead(),"12 (Δ; base=0, round=12, CodeQL(12)+Semgrep(0))","14 (Δ; base=0, round=14, CodeQL(14)+Semgrep(0))","12 (Δ; base=0, round=12, CodeQL(12)+Semgrep(0))",3
example/src/main/java/io/netty/example/stomp/websocket/StompWebSocketClientPageHandler.java,sendResource(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",3
handler/src/main/java/io/netty/handler/ssl/BouncyCastlePemReader.java,newParser(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",2
handler/src/main/java/io/netty/handler/ssl/PemReader.java,readCertificates(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",3
handler/src/main/java/io/netty/handler/ssl/util/KeytoolSelfSignedCertGenerator.java,generate(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",1
handler/src/main/java/io/netty/handler/ssl/util/SelfSignedCertificate.java,newSelfSignedCertificate(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))","1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",3
handler/src/main/java/io/netty/handler/stream/ChunkedFile.java,ChunkedFile(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","4 (Δ; base=0, round=4, CodeQL(4)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",3
handler/src/main/java/io/netty/handler/stream/ChunkedNioFile.java,ChunkedNioFile(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",2
handler/src/test/java/io/netty/handler/ssl/PemEncodedTest.java,testPemEncoded(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",0
